adjudication,severity,dimension,title,file,independent_votes_against,adjudication_20260911,evidence_20260911,finding_id_sha256,response_status,response_reason_and_action,correction_record,source_csv_sha256,resolution_commit_lookup
not_adjudicated,minor,incart,The cited 5f inversion-diagnosis script exists in neither the working tree nor git history,,0/0,upheld_open,"03_eval_results.md §11 cites scripts/_diag_incart.py twice as the source of the INCART inversion diagnosis. It is absent from the working tree, from git log --all on that path, and from git rev-list --all --objects. The numbers that diagnosis produced (scale sd 1.5 / 0.023 / 0.25, AUROC 0.281 to 0.274, AF misrouted to conduction 412 of 540, normals to ischemia 3061 of 7271) have no derivation artefact, and external_validation_protocol_v1.md §6 rests its 'No scale correction is applied' decision on exactly that diagnosis.",25c9bd08fa5736585ca4907513baea0fa31299ba25e2a421a5a20f619657bfc6,documented_limitation,Missing inversion-diagnosis script limits historical causal explanation.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,overreach,INCART gain range is reported as rounded numbers that contradict the audit's own recorded values,,0/0,upheld_fixed,Same correction as the other two ADC-gain findings.,c9db7f383e84d3a4e29dc4ce9f82e87236ee2c251d0d4ebf66222267f83a2ce6,previously_corrected,INCART measured gains retained separately from source prose.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,overreach,The official rule that defines every VFDB episode number is quoted but not preserved anywhere in the repository,,0/0,rejected,"The rule sentence is preserved in two tracked files: audit_vfdb_episodes.py:3-5 (module docstring) and emergency_rhythm_protocol_v1.md:45-47. The finding is false as worded. The narrower true point, which the finding does not make: vfdb_readiness_20260910/source_manifest.json hashes only RECORDS and the 66 .hea/.atr/.dat files, so the database page carrying the rule is the one input to the episode logic that is neither archived nor hashed.",d46c1fd9c433b5c07cc528a976144af433abe5f432e3a06ae1d7c7ea43c9ba5a,retained_rejection,Official rule text exists in tracked script/protocol; page-content hash remains a separate gap.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,protocol-integrity,"Both abort conditions are inert: the 1% preprocessing gate cannot plausibly fire on records500, and the one preflight aimed at the known failure mode is wired to have no consequence",,0/0,upheld_open,"Abort 1 requires more than 1% of the cohort to fail preprocessing, i.e. 17 of 1682 uniform 500 Hz, 5000-sample records500 files. Abort 2: §6 declares the amplitude preflight 'reported as context only' and states that it exists 'so the distributions are on record, not so a decision can be read off them', so by construction it cannot stop the run. The §10 hash rule is now executable but is not one of the two conditions this finding names.",228865ebd18172a66a7f5eee8df9f94a6d3f5e78ed43db1aa0bc5c4fc9de0185,pending_execution,Low expected failure rate does not make a>1%gate inert; external fault-injection runner remains unbuilt. Amplitude is descriptive by design.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,protocol-integrity,'Closer to deployment' is an unsupported comparative claim in a project that bans clinical-validity claims,,0/0,upheld_open,"Protocol §5 says the negative set 'is closer to deployment than the internal test' with no supporting evidence, while electrode_coverage_protocol_v1.md:3 and :12 bar clinical-validation and clinical-suitability claims for this line of work.",0f04000a4f13691632aefe679541be2b3d2fd6dfc96544f3d66652a247292507,documented,No closer-to-deployment claim; source readiness distinct from clinical/device performance.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,protocol-integrity,The stated incomparability of specificity is not quantified: a third of the cohort carries no code from the mapping at all,,0/0,upheld_open,"ptbxl_f3_label_flags.csv: 563 of 1682 F3 records, 33.5%, carry no code from the five-group mapping at all (exclusive_priority_label = -1). §5 states specificity is 'not comparable' and never gives this number.",1532b8e5bc5e8ff4d71e9e907ba8d1c84dddf6c6e077dfc6015c77ad7d680237,documented_limitation,Unmapped563/1682=33.47% included as mapped-endpoint negatives; not healthy controls.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,ptbxl-numbers,"""Positive counts per disease are below 100 each"" is false under the presence counts printed three lines above it",,0/0,upheld_fixed,"Same correction as its consistency twin; report.md §4 now states 91 to 111, and the presence counts AFIB 91, ST 93, conduction 111, ectopy 95 are reproduced from ptbxl_database.csv.",634fa54ea40b40681d9a9ca57ba8a40c0abcc098056481854a4ddbb68cddf956,previously_corrected,"Conduction111, others91/93/95; uncertainty remains broad.",records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,ptbxl-numbers,"""other rhythm codes 189"" is not reproducible from the report — SR is silently excluded, and including it gives 1529",,0/0,upheld_open,"Recounted on F3: other-rhythm codes excluding SR give 189, including SR give 1529, and SR itself is present in 1342 of 1682 records. Both figures match the finding exactly. Protocol §4 now states the SR exemption, but report.md §4 still prints 189 with no mention that SR is excluded, so the report's number remains unreproducible from the report.",e2e5938985a3cc0148ac648449d1e95d40aefa186a0723e37e9a03d13562f835,documented,Other rhythm189 requires SR exemption; including SR gives1529.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,ptbxl-numbers,"""identical ... lead names"" overstates a case-insensitive comparison; all 47/47 pairs differ in literal lead names and units",,0/0,upheld_open,audit_ptbxl_cross_version.py:319 compares upper-cased names. Measured over the 40 same-id pairs: literal lead-name matches 0 of 40 (Challenge aVR/aVL/aVF against records500 AVR/AVL/AVF) and unit matches 0 of 40 ('mv' against 'mV'). report.md §3 says all 47 were identical in lead names without the case qualifier.,8ac9594bf3ba60bbcc422aee14b149503112402f1e2aebef6ac3efa58ed780aa,documented,Literal lead spellings differ; case-normalized names and units compared separately.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,ptbxl-numbers,"""36 identical-raw-waveform duplicates"" in section 1 is waveform-verified for only 5 of the 36; the changelogs never state the deduplication criterion",,0/0,upheld_open,"The dropped records compared digitally are 137, 143, 2506, 11814, 11815, 3800 and 3801. Of these, 11815 and 3801 are the two 1.0.3-only drops, so exactly 5 of the 36 1.0.2 drops are waveform-verified. Neither changelog states the criterion by which the duplicates were identified; the audit propagates 'identical raw waveform duplicates' as drop_reason from the changelog wording.",6f866fc5b3c594ca4394853abc21419624d25567b87dc339c44af6a0bbb156fa,gate_failed,38 catalogued relations tested;36 exact/2 nonexact. Global identical-duplicate claim withdrawn.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,ptbxl-script,`F3_records_with_identical_partner_in_test` does not measure 'in test' -- it measures 'has any partner at all',,0/0,upheld_partial,"The expression is (f3.dup_partner_splits != '').sum(). f3 has already excluded train and valid partners, so it counts partners in test or unlisted, not 'in test'. The name is wrong. It is currently harmless because the value is 0, which makes the narrower claim true as well, but the field would over-report the moment an unlisted partner appeared.",2d86bdc20baaaceedb321f5a8c4e89d3d302738b086f06f41f1463ed3ce8466c,code_corrected_not_reached,"Count now tests semicolon token=test, but summary emission prevented by identity failure.",records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,ptbxl-script,"The diag_likelihood_min sweep is a structural no-op for af / ectopy / st_change_surrogate, and the JSON keys do not say so",,0/0,upheld_open,"Confirmed, and broader than stated. flags() applies diag_min only when the code has diagnostic = 1, and other_rhythm applies no likelihood filter at all. Across diag_likelihood_min 1/50/100 on F3 the JSON gives af 91/91/91, ectopy 95/95/95, st_change_surrogate 93/93/93, conduction_restricted 111/111/111 and other_rhythm 189/189/189; only normal (839/834/633) and other_cd (268/268/259) move. Four of the seven keys are invariant and the key names do not say so.",0cacfe62f7edbd179b553d3512e6c1e4c100c39f278af13247e055b96e005b9e,documented,Likelihood sweep structurally leaves form/rhythm flags unchanged; not robustness evidence for their presence rule.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,ptbxl-script,"Degenerate-lead blind spot in the identity comparison, with a live instance in the sample that is never surfaced",,0/0,upheld_partial,"The blind spot is real: np.array_equal treats an all-zero lead as a match and ptbxl_waveform_identity_sample.csv has no degeneracy column. The live instance is real: HR12722 lead index 10 (V5) is all-zero in the Challenge .mat and 12722 sits in the sample with digital_values_identical = True. 'Never surfaced' is inaccurate, since report.md §2 does state the all-zero V5 and its zero checksum, though for a different purpose and not in the identity artefact.",55fb76cf65082f87a5c0f397038219ee5ec2efdcb74c517e03b115bd8e577370,code_corrected,Constant-lead indices retained;12722 V5 reported without inferring source omission cause.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,ptbxl-script,float() on the raw Challenge header age string will crash the run rather than record a mismatch,,0/0,rejected,"Not reproducible. All 47 downloaded Challenge headers carry numeric '# Age:' strings, and the Challenge convention for an unknown age is 'NaN', which float() parses to nan without raising; nan > 89 is False, so such a row records a mismatch rather than crashing. Scope of this check: the 47 headers in work/external_lineage_sources_20260910/ptbxl/challenge. The remaining Challenge PTB-XL headers were not downloaded, so a non-numeric, non-NaN value elsewhere is unchecked rather than excluded.",f57d66a4b86db67bdb8b1d1193ec940d7cf7e0edc72d0ca808533d69e4901ad9,retained_rejection_with_guard,Prior47 headers did not reproduce float crash; malformed future age now records incompatibility.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
